brand,conversations,avg_messages,median_messages,avg_customer_messages,avg_support_messages
AmazonHelp,19216,4.931359283930059,4.0,2.692703996669442,2.234804329725229
AppleSupport,10628,3.2913059841926984,2.0,1.810218291305984,1.476665412118931
Uber_Support,7220,3.26606648199446,2.0,1.8270083102493075,1.4358725761772853
Delta,4499,3.526116914869971,2.0,1.8715270060013336,1.6403645254501
AmericanAir,4485,3.460200668896321,2.0,1.9723522853957636,1.4700111482720177
SpotifyCares,3792,3.6265822784810124,2.0,1.9295886075949367,1.6938291139240507
comcastcares,3784,3.0850951374207187,2.0,1.6865750528541226,1.3826638477801267
TMobileHelp,3082,3.7339390006489293,2.0,2.13724853990915,1.5392602206359507
British_Airways,2869,4.107005925409551,3.0,2.2133147438131755,1.8860230045311956
Tesco,1966,4.298067141403866,3.0,2.159206510681587,2.109359104781282
