brand,root_tweet_id,message_count,customer_messages,support_messages
AmazonHelp,272,7,4,3
AmazonHelp,325,2,1,1
Delta,611,3,2,1
AmazonHelp,617,5,3,2
AmazonHelp,621,2,1,1
AmazonHelp,624,4,2,2
AmazonHelp,630,5,3,2
AmazonHelp,632,2,1,1
AmazonHelp,634,2,1,1
AmazonHelp,636,2,1,1
AmazonHelp,643,7,4,3
AmazonHelp,646,4,2,2
AmazonHelp,649,2,1,1
AmazonHelp,652,6,3,3
AmazonHelp,659,4,2,2
AmazonHelp,662,3,2,1
AmazonHelp,664,2,1,1
AmazonHelp,667,3,2,1
AmazonHelp,672,5,4,1
AmazonHelp,678,4,3,1
AmazonHelp,682,3,2,1
AmazonHelp,690,6,3,3
AmazonHelp,693,2,1,1
AmazonHelp,695,2,1,1
AppleSupport,700,5,3,2
AppleSupport,711,10,6,4
AppleSupport,714,3,2,1
AppleSupport,719,4,2,2
AppleSupport,723,4,2,2
AppleSupport,730,6,4,2
AppleSupport,733,2,1,1
AppleSupport,736,4,2,2
AppleSupport,747,10,5,5
AppleSupport,749,2,1,1
AppleSupport,752,3,2,1
AppleSupport,756,4,2,2
AppleSupport,758,2,1,1
AppleSupport,765,6,3,3
AppleSupport,767,2,1,1
Uber_Support,771,4,2,2
Uber_Support,773,2,1,1
Uber_Support,775,2,1,1
Uber_Support,777,2,1,1
Uber_Support,782,5,3,2
Uber_Support,784,2,1,1
Tesco,789,4,2,2
Delta,792,4,2,2
Delta,801,7,4,3
Delta,803,2,1,1
Delta,814,10,6,4
Delta,817,33,8,25
SpotifyCares,855,8,4,4
SpotifyCares,862,6,3,3
SpotifyCares,866,4,2,2
British_Airways,872,7,5,2
British_Airways,877,3,2,1
British_Airways,886,5,2,3
British_Airways,966,2,1,1
British_Airways,969,4,2,2
British_Airways,974,9,6,3
comcastcares,982,3,2,1
comcastcares,985,4,2,2
comcastcares,989,6,3,3
comcastcares,994,2,1,1
AmericanAir,1000,5,3,2
AmericanAir,1002,2,1,1
AmericanAir,1005,4,2,2
AmericanAir,1009,2,1,1
AmericanAir,1062,2,1,1
AmericanAir,1065,2,1,1
TMobileHelp,1072,24,16,8
TMobileHelp,1158,3,2,1
TMobileHelp,1161,2,1,1
TMobileHelp,1163,2,1,1
TMobileHelp,1165,2,1,1
TMobileHelp,1174,8,4,4
AmazonHelp,1695,5,3,2
AmazonHelp,1699,8,5,3
AmazonHelp,1708,4,2,2
AmazonHelp,1710,2,1,1
AmazonHelp,1713,3,2,1
AmazonHelp,1715,2,1,1
AmazonHelp,1718,4,2,2
